Company,Sector,Quarter,AI Mentions,Total Segments,AI Intensity %,Top Category,Who Brought It Up,Quantified Impact,Best Quote,Speaker
CB,Property & Casualty Insurance,2023Q2,2,82,2.4,AI-Native Product,Both (1E/1A),No,"We’ve been employing AI for quite a number of years now—five or six years, anyway, and particularly it’s algorithmic AI, not generalized or large language models.",Evan Greenberg
CB,Property & Casualty Insurance,2023Q3,0,79,0.0,,,No,,
CB,Property & Casualty Insurance,2023Q4,0,63,0.0,,,No,,
CB,Property & Casualty Insurance,2024Q1,0,50,0.0,,,No,,
CB,Property & Casualty Insurance,2024Q2,0,70,0.0,,,No,,
CHD,Household Products,2023Q2,1,95,1.1,Internal Automation,Executive,Yes,"And of course, we like so many other companies out there are now looking to AI and chat and say, well, how can we leverage that to make everybody more productive?",Matt Farrell
CHD,Household Products,2023Q3,0,88,0.0,,,No,,
CHD,Household Products,2023Q4,1,14,7.1,AI-Native Product,Executive,Yes,"The integration of AI in Marketing Technology has also accelerated our creative processes, enabling us to produce content much more rapidly.",Surabhi Pokhriyal
CHD,Household Products,2024Q1,0,70,0.0,,,No,,
CHD,Household Products,2024Q2,0,103,0.0,,,No,,
CHD,Household Products,2025Q4,1,8,12.5,AI Infrastructure,Executive,Yes,"Utilizing AI has also become part of our strategy, ensuring our creative approaches are as effective across various platforms.",Surabhi Pokhriyal
CIEN,Communications Equipment,2023Q1,3,57,5.3,AI Infrastructure,Both (2E/1A),Yes,"With respect to demand, we remain positive about the fundamental drivers, including 5G, cloud, AI, and automation and continue to believe that they are very durable over the long term.",Gary Smith
CIEN,Communications Equipment,2023Q2,3,81,3.7,AI Infrastructure,Both (2E/1A),Yes,"And of course, AI could prove to be transformative for service providers and cloud providers alike on top of these existing dynamics.",Gary Smith
CIEN,Communications Equipment,2023Q3,4,57,7.0,AI Infrastructure,Both (3E/1A),Yes,"These include mobility, 5G, cloud, automation, and more recently, artificial intelligence applications as they move out towards the network.",Gary Smith
CIEN,Communications Equipment,2023Q4,6,76,7.9,AI Infrastructure,Both (4E/2A),Yes,"Taking a perspective around customer segments, clearly we had a record quarter with cloud providers as they continue to invest in data center interconnect for their traditional business and begin to provision their networks for AI-related traffic.",Gary Smith
CIEN,Communications Equipment,2025Q1,4,46,8.7,AI Infrastructure,Executive,Yes,As we execute our strategy to take full advantage of the growth of cloud and AI traffic.,Gary Smith
CIEN,Communications Equipment,2025Q2,4,70,5.7,AI Infrastructure,Both (3E/1A),Yes,This really highlights the accelerating investments in AI infrastructure and our leadership in addressing this demand.,Gary Smith
CIEN,Communications Equipment,2025Q3,8,88,9.1,AI Infrastructure,Both (7E/1A),Yes,"The step function increase in orders we've seen in recent quarters really underscores how the network is now fundamental to the underpinning, growth and monetization of AI.",Gary Smith
CIEN,Communications Equipment,2025Q4,6,59,10.2,AI Infrastructure,Executive,Yes,"Combined, these advantages have positioned and will continue to position Ciena Corporation to deliver value in the AI ecosystem, serving both cloud and service provider customers for many years to come.",Gary Smith
CI,Health Care Services,2023Q1,0,43,0.0,,,No,,
CI,Health Care Services,2023Q2,1,52,1.9,AI-Native Product,Executive,Yes,"Artificial intelligence and machine learning, for example, are capabilities further enhancing ways for us to support patients and their clinical care teams, as well as drive additional efficiency initiatives.",David Cordani
CI,Health Care Services,2023Q3,0,49,0.0,,,No,,
CI,Health Care Services,2023Q4,1,50,2.0,AI-Native Product,Executive,No,"So think about, broadly speaking, our investment strategy continuing to fuel a variety of items and finally, sustained affordability, be it on the medical class pharmacy cost for administrative leverage that we get out of machine learning and AI through that lens.",David Cordani
CI,Health Care Services,2025Q3,0,16,0.0,,,No,,
CI,Health Care Services,2025Q4,1,41,2.4,AI-Native Product,Executive,Yes,We expanded our suite of AI-powered digital tools to improve and personalize customer experiences.,Brian Evanko
CINF,Property & Casualty Insurance,2023Q1,0,80,0.0,,,No,,
CINF,Property & Casualty Insurance,2023Q2,0,52,0.0,,,No,,
CINF,Property & Casualty Insurance,2023Q3,0,36,0.0,,,No,,
CINF,Property & Casualty Insurance,2025Q2,0,48,0.0,,,No,,
CINF,Property & Casualty Insurance,2025Q3,0,45,0.0,,,No,,
CINF,Property & Casualty Insurance,2025Q4,1,36,2.8,Internal Automation,Executive,No,Generative AI is certainly a part of it.,Steve Spray
CTAS,Diversified Support Services,2023Q1,0,85,0.0,,,No,,
CTAS,Diversified Support Services,2023Q2,0,73,0.0,,,No,,
CTAS,Diversified Support Services,2025Q1,0,59,0.0,,,No,,
CTAS,Diversified Support Services,2025Q2,0,83,0.0,,,No,,
CTAS,Diversified Support Services,2025Q3,0,81,0.0,,,No,,
CTAS,Diversified Support Services,2025Q4,2,98,2.0,Uncategorized,Both (1E/1A),No,And now machine learning and artificial intelligence is certainly in the early innings for us.,Todd Schneider
CSCO,Communications Equipment,2023Q1,1,61,1.6,Internal Automation,Executive,Yes,"Networking is becoming increasingly critical to every organization, led by digital transformation, hybrid cloud, AI and ML workloads.",Chuck Robbins
CSCO,Communications Equipment,2025Q1,20,72,27.8,AI Infrastructure,Both (14E/6A),Yes,"In Q1, our webscale customers placed AI infrastructure orders in excess of $300 million.",Chuck Robbins
CSCO,Communications Equipment,2025Q2,19,70,27.1,AI Infrastructure,Both (11E/8A),Yes,"Importantly, our AI infrastructure orders with webscalers in Q2 surpassed $350 million, bringing our year-to-date total to approximately $700 million, and we are on track to exceed $1 billion of AI infrastructure orders in fiscal year '25.",Chuck Robbins
CSCO,Communications Equipment,2025Q3,16,73,21.9,AI Infrastructure,Both (10E/6A),Yes,"In addition, we received AI infrastructure orders from web-scale customers in excess of $600 million in Q3, bringing our year-to-date total to well over $1 billion, surpassing our original fiscal year '25 AI order target a full quarter early.",Chuck Robbins
CSCO,Communications Equipment,2025Q4,23,76,30.3,AI Infrastructure,Both (13E/10A),Yes,"According to our survey of IT networking leaders, 97% of businesses believe they need to upgrade their networks to successfully deploy AI.",Charles H. Robbins
C,Diversified Banks,2023Q1,1,55,1.8,Internal Automation,Executive,Yes,"We’re also modernizing our infrastructure and enhancing the security of our data and information by improving cybersecurity through the use of AI and enhancing the security of our infrastructure and devices, leading to fewer operating losses.",Mark Mason
C,Diversified Banks,2024Q4,2,61,3.3,Internal Automation,Executive,Yes,"We accelerated our use of AI, arming 30,000 developers with tools to write code and launched two AI platforms to make our 143,000 colleagues more efficient.",Jane Fraser
C,Diversified Banks,2025Q1,2,58,3.4,Internal Automation,Executive,Yes,We're also integrating AI directly into our business operations to improve the client experience.,Jane Fraser
C,Diversified Banks,2025Q2,1,29,3.4,Internal Automation,Executive,Yes,"That'll trend down over the next couple of years, and then continued productivity some of which will be enabled by AI that Jane mentioned earlier.",Mark Mason
C,Diversified Banks,2025Q3,0,23,0.0,,,No,,
C,Diversified Banks,2025Q4,2,78,2.6,AI-Native Product,Executive,Yes,"Combined with how we're deploying AI, this bank is being truly transformed in terms of its operational capabilities, its controls, and its tech infrastructure compared to five years ago.",Jane Fraser
CFG,Regional Banks,2024Q3,0,35,0.0,,,No,,
CFG,Regional Banks,2024Q4,0,61,0.0,,,No,,
CFG,Regional Banks,2025Q1,1,92,1.1,Uncategorized,Executive,Yes,"So, things like making sure we're adding to the Private Bank, we're adding private wealth teams, we're opening Private Bank offices, we're investing in AI and various projects, data analytics capability.",Bruce Van Saun
CFG,Regional Banks,2025Q2,5,63,7.9,Internal Automation,Both (4E/1A),Yes,"The objective is to redesign how we serve customers and run the bank, taking advantage of new technologies like GenAI and Agentic AI.",Bruce Van Saun
CFG,Regional Banks,2025Q3,2,75,2.7,AI-Native Product,Executive,Yes,"We have a team of executives from across the bank working on cultivating technology and AI-enabled ideas that will empower our colleagues to run the bank better, and we are looking at all our key customer touchpoints to simplify and improve customer experience.",Chris Emerson
CFG,Regional Banks,2025Q4,2,73,2.7,Uncategorized,Both (1E/1A),Yes,"The call center as an example, we think that combination of modernizing the tech stack for the call center front to back plus introducing voice AI and other mechanisms, we can get in the range over the medium-term outlook 50% of our call center calls out of a human answering them.",Brendan Coughlin
CLX,Household Products,2023Q1,0,67,0.0,,,No,,
CLX,Household Products,2023Q2,0,80,0.0,,,No,,
CLX,Household Products,2024Q2,0,89,0.0,,,No,,
CLX,Household Products,2024Q3,0,67,0.0,,,No,,
CLX,Household Products,2024Q4,0,71,0.0,,,No,,
CLX,Household Products,2025Q1,0,90,0.0,,,No,,
CLX,Household Products,2025Q2,0,92,0.0,,,No,,
CME,Financial Exchanges & Data,2023Q3,0,120,0.0,,,No,,
CME,Financial Exchanges & Data,2023Q4,0,109,0.0,,,No,,
CME,Financial Exchanges & Data,2024Q1,0,108,0.0,,,No,,
CME,Financial Exchanges & Data,2024Q3,1,95,1.1,Internal Automation,Executive,No,"I've mentioned many times that the lines will continue to blur between retail and institutional trading as we advance, especially with the rise of artificial intelligence, technological advancements, and greater access to marketplaces.",Terrence Duffy
CMS,Multi-Utilities,2023Q3,0,88,0.0,,,No,,
CMS,Multi-Utilities,2023Q4,0,73,0.0,,,No,,
CMS,Multi-Utilities,2024Q1,0,40,0.0,,,No,,
CMS,Multi-Utilities,2024Q2,0,56,0.0,,,No,,
CMS,Multi-Utilities,2024Q3,1,77,1.3,Internal Automation,Executive,Yes,It also means investing in grid technology for more automation and machine learning to speed up restoration in weather events.,Garrick Rochow
KO,Soft Drinks & Non-alcoholic Beverages,2023Q1,1,37,2.7,Uncategorized,Executive,No,"Some of the advertising, we partnered with OpenAI and ChatGPT to run a promotion where you could design Coke advertising and have it come up on the Times Square billboard.",James Quincey
KO,Soft Drinks & Non-alcoholic Beverages,2023Q2,0,50,0.0,,,No,,
KO,Soft Drinks & Non-alcoholic Beverages,2023Q3,2,47,4.3,AI-Native Product,Executive,Yes,We're taking bold steps to be at the forefront of both consumer and non-consumer facing generative AI.,James Quincey
KO,Soft Drinks & Non-alcoholic Beverages,2023Q4,1,52,1.9,Internal Automation,Executive,Yes,"We're applying digital tools, ingredient processing technology, and AI to create bolder and more successful innovations.",James Quincey
KO,Soft Drinks & Non-alcoholic Beverages,2024Q1,2,55,3.6,AI Infrastructure,Executive,Yes,"K-Wave celebrates Korean pop, or K-pop fans, includes a global collaboration with three K-pop groups and an AI-based fan experience.",James Quincey
CTSH,IT Consulting & Other Services,2023Q1,4,35,11.4,Internal Automation,Both (3E/1A),Yes,"We will help drive customer, employee, and partner experiences at Nike by leveraging hyper-automation, AI, and process reengineering.",Ravi Kumar
CTSH,IT Consulting & Other Services,2023Q2,7,25,28.0,Internal Automation,Both (4E/3A),Yes,"Accordingly, we expect to invest approximately $1 billion in our generative AI capabilities over the next three years.",Ravi Kumar
CTSH,IT Consulting & Other Services,2023Q3,4,40,10.0,Internal Automation,Executive,Yes,"As mentioned last quarter, we expect to invest approximately $1 billion in our generative AI capabilities over the next three years, focusing on areas such as platform modernization infrastructure, recruiting and upskilling.",Ravi Kumar
CTSH,IT Consulting & Other Services,2023Q4,11,41,26.8,Internal Automation,Both (9E/2A),Yes,"In 2023, 90% of our global workforce spent time in learning with 270,000 of our employees acquiring at least one new skill proficiency, and 88,000 completing AI and generative AI courses.",Ravi Kumar
CTSH,IT Consulting & Other Services,2024Q1,5,45,11.1,Internal Automation,Both (4E/1A),Yes,"In quarter 1, we announced a series of new partnerships and co-innovations behind this strategy we announced last year to invest $1 billion in generative AI over 3 years.",Ravi Kumar S
CTSH,IT Consulting & Other Services,2025Q4,12,48,25.0,Internal Automation,Both (8E/4A),Yes,"We now have over 4,000 AI engagements across all three vectors, and over 30% of our developer effort in software development cycles is AI-assisted and agent tech.",Ravi Kumar
COIN,Financial Exchanges & Data,2023Q1,0,51,0.0,,,No,,
COIN,Financial Exchanges & Data,2023Q2,0,42,0.0,,,No,,
COIN,Financial Exchanges & Data,2023Q3,0,44,0.0,,,No,,
COIN,Financial Exchanges & Data,2023Q4,0,46,0.0,,,No,,
COIN,Financial Exchanges & Data,2024Q2,0,47,0.0,,,No,,
COIN,Financial Exchanges & Data,2024Q3,1,47,2.1,AI Infrastructure,Executive,Yes,"We've seen a surge of developers building AI agents with embedded crypto wallets, which is an exciting trend.",Brian Armstrong
COIN,Financial Exchanges & Data,2024Q4,2,54,3.7,Risk/Regulatory,Executive,No,"Broad USDC adoption, international purpose business is booming, AI leader.",Anil Gupta
COIN,Financial Exchanges & Data,2025Q1,0,55,0.0,,,No,,
COIN,Financial Exchanges & Data,2025Q2,1,52,1.9,Internal Automation,Executive,No,"We are focused on automating as much as we can and moving this world into one of AI and automation, and at the same time, figuring out how to maintain CSAT scores.",Emilie M. Choi
COIN,Financial Exchanges & Data,2025Q3,2,65,3.1,Internal Automation,Executive,Yes,And then we're also rolling out deep reasoning LLM agents to automate the majority of compliance investigations in 2026.,Emilie Choi
CL,Household Products,2024Q2,2,60,3.3,Internal Automation,Executive,No,"We’re also using data and analytics tools, including AI, to track the effectiveness of these activities as we look to further optimize the return on our increased spending.",Noel Wallace
CL,Household Products,2024Q3,2,60,3.3,Internal Automation,Executive,No,"Overall, we are improving our understanding of what works, especially with our advancements in analytics and the use of AI to enhance our digital impact, which should lead to better ROI in the future.",Noel Wallace
CL,Household Products,2024Q4,3,68,4.4,Internal Automation,Both (2E/1A),Yes,"Our investments in data, analytics, and AI will also be key to driving pricing growth in 2025.",Noel Wallace
CL,Household Products,2025Q1,2,59,3.4,Internal Automation,Executive,Yes,"We also remain committed to investing in and scaling capabilities like AI, data analytics, and innovation, areas that will take on even greater importance in this more volatile environment.",Noel Wallace
CL,Household Products,2025Q2,5,41,12.2,AI-Native Product,Both (4E/1A),Yes,"As I talked about at CAGNY, AI will be a difference maker for us in our RGM efforts as we work with our retail partners to use data analytics and machine learning to optimize our portfolio and promotional spending to solve for the best combination of sales and profit growth.",Noel R. Wallace
CMCSA,Cable & Satellite,2023Q4,0,43,0.0,,,No,,
CMCSA,Cable & Satellite,2024Q1,1,36,2.8,Uncategorized,Executive,No,"There's a lot of conversation surrounding AI, but significant developments are occurring in entertainment, sports, and healthcare, along with areas we haven't even discussed yet.",Brian Roberts
CMCSA,Cable & Satellite,2024Q2,0,38,0.0,,,No,,
CMCSA,Cable & Satellite,2024Q3,1,38,2.6,Uncategorized,Executive,No,"We’re also excited about integrating AI across all our sales channels, including retention.",Dave Watson
CMCSA,Cable & Satellite,2024Q4,1,53,1.9,AI Infrastructure,Executive,No,"Together, this network gives us a competitive advantage in the markets we serve but also importantly positions us really well for new growth opportunities in a world hungry for connectivity that will be increasingly driven by AI and edge computing...",Brian Roberts
FIX,Construction & Engineering,2023Q2,1,58,1.7,AI Infrastructure,Analyst,No,And then just last one for me is just maybe talk about if artificial intelligence is kind of driving any newer activity within data centers lately?,Julio Romero
FIX,Construction & Engineering,2023Q3,3,42,7.1,AI Infrastructure,Executive,Yes,"Comfort Systems is fortunate to have the right capabilities to help meet the surging need for mechanical and electrical experts to grow data capacity for artificial intelligence and to help increase our country's ability to build its own chips, manufacture its own medicines, supply its batteries, an",Brian Lane
FIX,Construction & Engineering,2023Q4,2,75,2.7,AI Infrastructure,Executive,Yes,"Thanks to our careful and relentless investments in existing and newly acquired businesses, we have the crucial skills and capability to help meet our country's surging needs for mechanical and electrical experts and to build and service buildings, including to grow data capacity for artificial inte",Brian Lane
FIX,Construction & Engineering,2024Q1,0,64,0.0,,,No,,
FIX,Construction & Engineering,2024Q2,2,57,3.5,AI Infrastructure,Both (1E/1A),No,"Well, I think AI, let's say the demand for data, right, because even the AI build really only started last year, 15 months, right?",Brian Lane
CAG,Packaged Foods & Meats,2023Q1,0,87,0.0,,,No,,
CAG,Packaged Foods & Meats,2023Q2,0,61,0.0,,,No,,
CAG,Packaged Foods & Meats,2023Q3,0,47,0.0,,,No,,
CAG,Packaged Foods & Meats,2023Q4,0,69,0.0,,,No,,
CAG,Packaged Foods & Meats,2025Q3,0,58,0.0,,,No,,
CAG,Packaged Foods & Meats,2025Q4,1,52,1.9,AI-Native Product,Executive,Yes,"And fifth, we are kicking off an ambitious initiative to reengineer our core work leveraging technology including AI to accelerate growth and lower costs.",Sean Connolly
COP,Oil & Gas Exploration & Production,2023Q1,0,55,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2023Q2,0,49,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2023Q3,0,60,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2025Q1,0,51,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2025Q2,0,50,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2025Q3,0,40,0.0,,,No,,
COP,Oil & Gas Exploration & Production,2025Q4,0,55,0.0,,,No,,
STZ,Distillers & Vintners,2024Q1,0,41,0.0,,,No,,
STZ,Distillers & Vintners,2024Q2,0,46,0.0,,,No,,
STZ,Distillers & Vintners,2024Q3,0,62,0.0,,,No,,
STZ,Distillers & Vintners,2024Q4,0,43,0.0,,,No,,
STZ,Distillers & Vintners,2025Q1,0,55,0.0,,,No,,
CEG,Electric Utilities,2024Q1,1,29,3.4,AI Infrastructure,Executive,Yes,"In the coming years, the demand for clean, reliable megawatts will only grow, and we think we're best positioned to meet growing demand for clean energy to tackle the challenge of the energy transition; to unlock value through compensation for the uniquely clean and reliable attributes of our 180 mi",Joseph Dominguez
CEG,Electric Utilities,2024Q2,1,29,3.4,AI Infrastructure,Executive,Yes,"We've heard this from a variety of policymakers; a number of nations, including China, are vying for AI supremacy.",Joseph Dominguez
CEG,Electric Utilities,2024Q3,3,41,7.3,AI Infrastructure,Executive,Yes,"However, we believe that colocation in competitive markets is key to establishing the large data centers necessary for leadership in AI.",Joseph Dominguez
CEG,Electric Utilities,2025Q1,2,44,4.5,AI Infrastructure,Executive,Yes,"First, the business updates from the tech companies are telling us that Americans are putting AI technology to work in their businesses and in their lives.",Joseph Dominguez
COO,Health Care Supplies,2024Q1,1,70,1.4,AI-Native Product,Executive,Yes,"CooperSurgical was an early adopter of artificial intelligence to identify the best embryos to transfer during an IVF cycle and we're now further advancing our leadership position with the launch of primary template-directed amplification, a new approach to DNA amplification for embryo biopsy sample",AL White
COO,Health Care Supplies,2024Q2,0,91,0.0,,,No,,
COO,Health Care Supplies,2024Q3,0,83,0.0,,,No,,
COO,Health Care Supplies,2024Q4,1,68,1.5,Internal Automation,Executive,Yes,"As a premier fertility company utilizing genetic testing based on machine learning and AI methodologies, we are excited to unveil advancements in our suite of tests, which will detect variations in DNA at the embryo level, thus increasing the chances of achieving a healthy pregnancy.",Al White
COO,Health Care Supplies,2025Q1,1,35,2.9,AI-Native Product,Executive,Yes,"We are also continuing to see exciting activity with new innovation, including within our reproductive genetic testing business, where our cutting-edge AI-based testing methodologies are advancing efforts at detecting genetic variations at the DNA level in embryos.",Albert White
CPRT,Diversified Support Services,2023Q3,1,62,1.6,AI Infrastructure,Executive,Yes,Clients also showed interest in our image recognition and machine learning tools to enhance decision-making speed.,Jeff Liaw
CPRT,Diversified Support Services,2023Q4,3,63,4.8,Uncategorized,Both (2E/1A),Yes,"Our insurance company clients continue to leverage and incorporate our image recognition tools and machine learning algorithms to enable better decision-making on total losses and, importantly, faster decision-making.",Jeff Liaw
CPRT,Diversified Support Services,2024Q1,0,76,0.0,,,No,,
CPRT,Diversified Support Services,2024Q2,0,49,0.0,,,No,,
CPRT,Diversified Support Services,2024Q3,2,34,5.9,Internal Automation,Both (1E/1A),Yes,Our uniquely global buyer base and the auction intelligence that results from the application of machine learning tools to the data from literally billions of interactions with sellers and members that correspond with tens of millions of vehicles sold.,Jeff Liaw
GLW,Electronic Components,2023Q2,4,56,7.1,AI Infrastructure,Both (3E/1A),Yes,"In Optical Communications, leaders in large language models are building data centers with what is essentially a second optical network, which is increasing connectivity by up to five times within individual data centers.",Wendell Weeks
GLW,Electronic Components,2023Q3,4,68,5.9,AI Infrastructure,Executive,Yes,"In Optical Communications, fiber optics remains the ascendant technology with growing applications in wireless, cloud computing, including AI and government efforts to connect the unconnected.",Wendell Weeks
GLW,Electronic Components,2023Q4,3,40,7.5,AI Infrastructure,Executive,Yes,"Additionally, we expect to grow hyperscale sales in support of the growing role of cloud computing and the need to build the second optical network necessary to directly connect the GPUs that drive artificial intelligence.",Wendell Weeks
GLW,Electronic Components,2024Q1,3,48,6.2,AI Infrastructure,Both (2E/1A),Yes,"Additionally, in the enterprise portion of our optical business, we expect our recent wins for AI data centers will translate into orders and sales during the year.",Wendell Weeks
GLW,Electronic Components,2024Q2,10,63,15.9,AI Infrastructure,Both (4E/6A),Yes,We've reached an agreement with Lumen Technologies that reserves 10% of our global fiber capacity for each of the next two years to facilitate Lumen's build of a new network to interconnect AI-enabled data centers.,Wendell Weeks
CPAY,Transaction & Payment Processing Services,2023Q1,0,54,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2023Q2,0,70,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2023Q3,0,56,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2023Q4,0,61,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2024Q1,0,62,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2024Q3,0,43,0.0,,,No,,
CPAY,Transaction & Payment Processing Services,2024Q4,0,69,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2023Q1,1,52,1.9,AI-Native Product,Executive,Yes,We are planning on completing about 85% of our 32 planned country exits and about 60% of our AI exits by the end of this year.,Chuck Magro
CTVA,Fertilizers & Agricultural Chemicals,2023Q2,0,40,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2023Q3,0,36,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2023Q4,0,39,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2024Q1,0,50,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2025Q2,0,59,0.0,,,No,,
CTVA,Fertilizers & Agricultural Chemicals,2025Q3,3,66,4.5,Internal Automation,Both (2E/1A),Yes,"As we said last month, the seed genetics landscape is changing due to new technologies like gene editing and artificial intelligence, which opens new markets and opportunities for companies with scalable ag science capabilities.",Charles Magro
CTVA,Fertilizers & Agricultural Chemicals,2025Q4,0,52,0.0,,,No,,
CSGP,Real Estate Services,2023Q1,1,55,1.8,Internal Automation,Executive,Yes,I actually use my favorite AI tool which I call an Excel spreadsheet to go back and figure out how many actual quarters we had double-digit growth.,Scott Wheeler
CSGP,Real Estate Services,2023Q2,0,43,0.0,,,No,,
CSGP,Real Estate Services,2024Q4,0,40,0.0,,,No,,
CSGP,Real Estate Services,2025Q1,0,35,0.0,,,No,,
CSGP,Real Estate Services,2025Q2,1,43,2.3,AI-Native Product,Executive,Yes,"We showcased our latest AI-powered technology, including Matterport 3D tours and AI Voice Search and incredible interactive life-sized apartment exhibit called the Brad.",Andrew Florance
CSGP,Real Estate Services,2025Q3,3,40,7.5,AI-Enhanced Feature,Both (2E/1A),Yes,"Users of AI Smart Search use 69% more search filters, viewed 37% more listing pages per session, were five times more likely to return to the site within the following week.",Andy Florance
COST,Consumer Staples Merchandise Retail,2024Q3,0,89,0.0,,,No,,
COST,Consumer Staples Merchandise Retail,2024Q4,0,79,0.0,,,No,,
COST,Consumer Staples Merchandise Retail,2025Q1,0,95,0.0,,,No,,
COST,Consumer Staples Merchandise Retail,2025Q2,0,75,0.0,,,No,,
COST,Consumer Staples Merchandise Retail,2025Q3,0,69,0.0,,,No,,
CTRA,Oil & Gas Exploration & Production,2024Q2,0,86,0.0,,,No,,
CTRA,Oil & Gas Exploration & Production,2024Q3,1,78,1.3,Internal Automation,Executive,Yes,"In cooperation with our machine learning team, our reservoir engineers iterate frac design and well spacing to maximize the capital efficiency and net present value of every development.",Blake Sirgo
CTRA,Oil & Gas Exploration & Production,2024Q4,0,73,0.0,,,No,,
CTRA,Oil & Gas Exploration & Production,2025Q1,0,44,0.0,,,No,,
CTRA,Oil & Gas Exploration & Production,2025Q2,0,85,0.0,,,No,,
CRH,Construction Materials,2024Q1,0,54,0.0,,,No,,
CRH,Construction Materials,2024Q2,0,42,0.0,,,No,,
CRH,Construction Materials,2024Q3,0,28,0.0,,,No,,
CRH,Construction Materials,2024Q4,0,44,0.0,,,No,,
CRH,Construction Materials,2025Q1,0,54,0.0,,,No,,
CRWD,Systems Software,2023Q2,1,53,1.9,AI-Native Product,Executive,Yes,"Building on the cloud-native application protection platform or CNAPP capabilities we introduced last quarter, this quarter, we announced new CNAPP capabilities to extend support within AWS Fargate to Amazon’s Elastic Container Service, introduced the first AI-powered indicators of attack, comprehen",George Kurtz
CRWD,Systems Software,2023Q3,1,53,1.9,Internal Automation,Executive,Yes,This exceptional performance reflects our superior AI and machine learning models and the data advantage from our unique Threat Graph technology.,George Kurtz
CRWD,Systems Software,2023Q4,3,55,5.5,AI-Native Product,Both (2E/1A),Yes,"CrowdStrike’s growing market share showcases the Falcon platform’s advanced AI and technology leadership that drives better security outcomes, automation, and lower TCO for customers.",George Kurtz
CRWD,Systems Software,2024Q1,11,65,16.9,Uncategorized,Both (6E/5A),Yes,"I will focus my comments on why we believe CrowdStrike has a clear and sustainable advantage as three mega-trends continue to unfold: AI, consolidation, and cloud.",George Kurtz
CRWD,Systems Software,2024Q2,5,56,8.9,AI-Native Product,Both (3E/2A),Yes,"Our commitment to operational excellence and the utilization of AI within our platform and across our entire organization is driving enviable leverage in our financial results, even as we aggressively invest in fueling growth.",George Kurtz
CRWD,Systems Software,2024Q4,3,46,6.5,Uncategorized,Both (2E/1A),Yes,"Our customers are also excited about the GenAI productivity gains from Charlotte AI, where over 80% of our beta users believe they will save hours to days of work each week using Charlotte AI.",George Kurtz
CRWD,Systems Software,2025Q1,6,41,14.6,AI-Native Product,Both (3E/3A),Yes,"As hyperscalers print remarkable results as NVIDIA continues to amaze and as AI hardware spend reaches gold rush levels, estimated to be north of $60 billion in the last 12 months, CrowdStrike is at the epicenter of securing the workloads driving the AI revolution.",George Kurtz
CRWD,Systems Software,2025Q2,1,51,2.0,AI-Native Product,Executive,Yes,"The July 19 incident starts a new chapter for CrowdStrike, one focused on ensuring that cybersecurity's best AI platform for SOC operations, protection, visibility, response, and automation is also cybersecurity's most resilient platform.",George Kurtz
CRWD,Systems Software,2025Q3,4,50,8.0,Internal Automation,Both (3E/1A),Yes,"Falcon Flex is increasing both our share of wallet and enterprise real estate, furthering CrowdStrike as cybersecurity's AI-native platform of record.",George Kurtz
CRWD,Systems Software,2025Q4,6,51,11.8,Internal Automation,Both (5E/1A),Yes,"Q4 showcases the fruits of our labors, giving me strong conviction in our AI-native single platform, excellent execution, and accelerating market opportunity.",George Kurtz
CCI,Telecom Tower REITs,2024Q2,0,73,0.0,,,No,,
CCI,Telecom Tower REITs,2024Q3,2,64,3.1,AI Infrastructure,Executive,Yes,"Demand drivers, including from AI, suggest that the need for data transport will continue to rise, and our connection hubs in major cities are well positioned to meet this demand.",Steven Moskowitz
CCI,Telecom Tower REITs,2024Q4,0,45,0.0,,,No,,
CCI,Telecom Tower REITs,2025Q1,0,68,0.0,,,No,,
CCI,Telecom Tower REITs,2025Q2,2,69,2.9,Uncategorized,Both (1E/1A),No,The first question on what do we see as incremental data in AI.,Daniel K. Schlanger
CSX,Rail Transportation,2023Q4,0,47,0.0,,,No,,
CSX,Rail Transportation,2024Q1,0,51,0.0,,,No,,
CSX,Rail Transportation,2024Q2,0,58,0.0,,,No,,
CSX,Rail Transportation,2024Q3,0,45,0.0,,,No,,
CSX,Rail Transportation,2024Q4,0,62,0.0,,,No,,
CMI,Construction Machinery & Heavy Transportation Equipment,2023Q2,0,62,0.0,,,No,,
CMI,Construction Machinery & Heavy Transportation Equipment,2023Q3,0,51,0.0,,,No,,
